src,dst,v1,v2,v3
26,260,6.0,392.0,1.0
26,393,3.0,42.0,1.0
26,500,3.0,54.0,1.0
26,528,8.0,415.0,1.0
27,298,19.0,211.0,1.0
27,414,17.0,242.0,1.0
27,437,5.0,7.0,1.0
27,499,3.0,9.0,1.0
27,569,2.0,6.0,1.0
27,582,10.0,101.0,1.0
27,641,6.0,92.0,1.0
27,647,5.0,7.0,1.0
27,960,17.0,218.0,1.0
28,431,5.0,8.0,1.0
28,491,1.0,3.0,1.0
28,593,7.0,98.0,1.0
28,594,4.0,7.0,1.0
28,643,1.0,1.0,1.0
28,710,6.0,111.0,1.0
29,321,2.0,17.0,1.0
29,375,4.0,4.0,1.0
29,470,1.0,4.0,1.0
29,983,6.0,175.0,1.0
30,282,2.0,12.0,1.0
30,317,6.0,487.0,1.0
30,548,2.0,24.0,1.0
30,721,2.0,60.0,1.0
30,907,5.0,30.0,1.0
31,74,8.0,465.0,1.0
31,101,6.0,475.0,1.0
31,133,5.0,60.0,1.0
31,581,5.0,60.0,1.0
31,728,4.0,36.0,1.0
31,794,8.0,574.0,1.0
31,810,4.0,54.0,1.0
32,67,2.0,7.0,1.0
32,147,2.0,8.0,1.0
32,452,5.0,82.0,1.0
32,579,4.0,7.0,1.0
32,875,1.0,7.0,1.0
33,118,1.0,54.0,1.0
33,163,6.0,596.0,1.0
33,202,4.0,48.0,1.0
33,276,7.0,286.0,1.0
33,324,1.0,12.0,1.0
33,551,1.0,18.0,1.0
34,280,5.0,5.0,1.0
34,731,6.0,314.0,1.0
34,750,3.0,7.0,1.0
34,808,4.0,5.0,1.0
34,848,8.0,315.0,1.0
34,926,5.0,11.0,1.0
35,42,3.0,5.0,1.0
35,106,8.0,86.0,1.0
35,608,4.0,4.0,1.0
35,849,2.0,5.0,1.0
35,905,1.0,3.0,1.0
35,914,10.0,162.0,1.0
36,49,2.0,0.0,1.0
36,96,4.0,2.0,1.0
36,323,2.0,1.0,1.0
36,823,5.0,40.0,1.0
37,247,10.0,73.0,1.0
37,319,2.0,4.0,1.0
37,415,1.0,1.0,1.0
37,803,5.0,4.0,1.0
37,865,5.0,5.0,1.0
37,975,8.0,99.0,1.0
38,182,10.0,187.0,1.0
38,232,5.0,7.0,1.0
38,465,1.0,3.0,1.0
38,545,1.0,3.0,1.0
38,861,2.0,4.0,1.0
39,235,2.0,17.0,1.0
39,549,5.0,17.0,1.0
39,753,5.0,131.0,1.0
39,994,5.0,11.0,1.0
40,156,4.0,11.0,1.0
40,196,5.0,339.0,1.0
40,412,4.0,4.0,1.0
40,665,1.0,17.0,1.0
40,753,7.0,258.0,1.0
40,832,6.0,142.0,1.0
40,887,5.0,18.0,1.0
41,53,5.0,646.0,1.0
41,80,1.0,12.0,1.0
41,210,4.0,48.0,1.0
41,688,2.0,30.0,1.0
41,727,10.0,535.0,1.0
41,978,1.0,42.0,1.0
42,35,3.0,5.0,1.0
42,87,5.0,1.0,1.0
42,212,1.0,7.0,1.0
42,219,3.0,1.0,1.0
42,301,6.0,304.0,1.0
42,656,19.0,226.0,1.0
43,74,3.0,54.0,1.0
43,209,4.0,12.0,1.0
43,537,5.0,42.0,1.0
43,713,9.0,349.0,1.0
43,927,1.0,54.0,1.0
44,60,3.0,18.0,1.0
44,180,4.0,48.0,1.0
44,217,4.0,60.0,1.0
44,399,2.0,36.0,1.0
44,577,10.0,433.0,1.0
45,238,7.0,101.0,1.0
45,305,7.0,98.0,1.0
45,591,4.0,3.0,1.0
45,757,2.0,2.0,1.0
45,831,4.0,1.0,1.0
45,935,2.0,3.0,1.0
46,131,5.0,4.0,1.0
46,148,4.0,3.0,1.0
46,155,2.0,8.0,1.0
46,736,9.0,108.0,1.0
46,897,2.0,6.0,1.0
46,998,9.0,136.0,1.0
47,85,5.0,391.0,1.0
47,626,3.0,60.0,1.0
47,664,5.0,18.0,1.0
47,678,3.0,30.0,1.0
47,826,2.0,42.0,1.0
47,927,7.0,530.0,1.0
48,49,4.0,2.0,1.0
48,526,7.0,56.0,1.0
48,532,3.0,2.0,1.0
48,669,2.0,0.0,1.0
48,823,10.0,23.0,1.0
48,979,5.0,0.0,1.0
49,36,2.0,0.0,1.0
49,48,4.0,2.0,1.0
49,532,1.0,1.0,1.0
49,979,10.0,24.0,1.0
50,483,5.0,263.0,1.0
50,515,3.0,1.0,1.0
50,803,1.0,3.0,1.0
50,853,2.0,11.0,1.0
50,904,4.0,8.0,1.0
51,60,2.0,36.0,1.0
51,384,3.0,48.0,1.0
51,620,6.0,460.0,1.0
51,678,1.0,48.0,1.0
51,858,3.0,24.0,1.0
52,74,4.0,60.0,1.0
52,276,10.0,392.0,1.0
52,347,2.0,48.0,1.0
52,742,8.0,588.0,1.0
52,941,5.0,48.0,1.0
52,1000,5.0,60.0,1.0
53,41,5.0,646.0,1.0
53,385,5.0,48.0,1.0
53,580,2.0,60.0,1.0
53,696,10.0,458.0,1.0
53,717,3.0,24.0,1.0
53,721,5.0,42.0,1.0
54,77,7.0,324.0,1.0
54,151,9.0,610.0,1.0
54,157,2.0,30.0,1.0
54,601,7.0,537.0,1.0
54,613,5.0,18.0,1.0
54,729,2.0,30.0,1.0
54,858,3.0,42.0,1.0
54,862,5.0,596.0,1.0
55,406,6.0,71.0,1.0
55,412,8.0,133.0,1.0
55,665,3.0,11.0,1.0
55,695,5.0,11.0,1.0
55,740,2.0,7.0,1.0
55,874,4.0,15.0,1.0
56,163,1.0,18.0,1.0
56,275,8.0,542.0,1.0
56,392,3.0,24.0,1.0
56,421,9.0,535.0,1.0
56,864,3.0,18.0,1.0
56,991,5.0,30.0,1.0
57,158,1.0,3.0,1.0
57,407,2.0,8.0,1.0
57,477,1.0,6.0,1.0
57,540,5.0,179.0,1.0
57,631,4.0,2.0,1.0
57,919,6.0,108.0,1.0
58,19,5.0,36.0,1.0
58,60,9.0,450.0,1.0
58,127,2.0,48.0,1.0
58,154,3.0,60.0,1.0
58,172,2.0,48.0,1.0
58,522,10.0,421.0,1.0
58,638,5.0,443.0,1.0
59,204,1.0,2.0,1.0
59,461,6.0,66.0,1.0
59,516,4.0,4.0,1.0
59,619,1.0,4.0,1.0
59,809,7.0,104.0,1.0
60,44,3.0,18.0,1.0
60,51,2.0,36.0,1.0
60,58,9.0,450.0,1.0
60,243,9.0,654.0,1.0
60,311,1.0,48.0,1.0
60,794,1.0,6.0,1.0
60,952,10.0,469.0,1.0
61,258,5.0,189.0,1.0
61,358,4.0,5.0,1.0
61,683,4.0,5.0,1.0
61,808,6.0,350.0,1.0
61,969,1.0,15.0,1.0
62,65,3.0,1.0,1.0
62,297,5.0,1.0,1.0
62,855,2.0,3.0,1.0
62,989,9.0,29.0,1.0
63,230,5.0,89.0,1.0
63,425,5.0,149.0,1.0
63,517,3.0,3.0,1.0
63,701,2.0,2.0,1.0
63,890,3.0,2.0,1.0
64,128,5.0,11.0,1.0
64,160,5.0,7.0,1.0
64,164,1.0,15.0,1.0
64,649,9.0,343.0,1.0
64,672,10.0,252.0,1.0
64,677,4.0,11.0,1.0
65,62,3.0,1.0,1.0
65,218,3.0,1.0,1.0
65,350,10.0,54.0,1.0
65,508,5.0,3.0,1.0
65,561,10.0,61.0,1.0
65,989,1.0,1.0,1.0
66,256,8.0,57.0,1.0
66,657,5.0,11.0,1.0
66,723,7.0,110.0,1.0
66,857,5.0,3.0,1.0
66,987,3.0,5.0,1.0
67,32,2.0,7.0,1.0
67,265,3.0,7.0,1.0
67,278,1.0,1.0,1.0
67,414,19.0,334.0,1.0
67,488,6.0,147.0,1.0
67,875,5.0,61.0,1.0
68,323,8.0,114.0,1.0
68,526,2.0,1.0,1.0
68,532,8.0,46.0,1.0
68,979,4.0,1.0,1.0
69,360,4.0,4.0,1.0
69,449,5.0,210.0,1.0
69,604,1.0,2.0,1.0
69,856,1.0,1.0,1.0
69,963,4.0,4.0,1.0
70,130,6.0,29.0,1.0
70,305,5.0,2.0,1.0
70,698,6.0,61.0,1.0
70,956,1.0,0.0,1.0
71,418,3.0,9.0,1.0
71,640,6.0,158.0,1.0
71,660,4.0,10.0,1.0
71,711,9.0,199.0,1.0
71,806,4.0,1.0,1.0
71,1006,1.0,13.0,1.0
72,233,7.0,125.0,1.0
72,255,5.0,75.0,1.0
72,328,5.0,3.0,1.0
72,429,5.0,6.0,1.0
72,550,2.0,2.0,1.0
72,890,3.0,2.0,1.0
73,754,4.0,6.0,1.0
73,763,2.0,42.0,1.0
73,813,5.0,341.0,1.0
73,922,1.0,6.0,1.0
73,1005,4.0,24.0,1.0
74,31,8.0,465.0,1.0
74,43,3.0,54.0,1.0
74,52,4.0,60.0,1.0
74,85,5.0,36.0,1.0
74,154,8.0,588.0,1.0
74,575,3.0,12.0,1.0
75,324,2.0,24.0,1.0
75,455,10.0,603.0,1.0
75,576,4.0,6.0,1.0
75,791,5.0,48.0,1.0
75,891,8.0,675.0,1.0
75,925,5.0,516.0,1.0
75,1000,1.0,6.0,1.0
76,189,9.0,144.0,1.0
76,684,1.0,1.0,1.0
76,771,3.0,5.0,1.0
76,915,4.0,2.0,1.0
76,967,1.0,3.0,1.0
77,54,7.0,324.0,1.0
77,451,3.0,60.0,1.0
77,601,1.0,24.0,1.0
77,714,2.0,36.0,1.0
77,805,1.0,42.0,1.0
78,115,10.0,120.0,1.0
78,552,2.0,1.0,1.0
78,662,1.0,1.0,1.0
78,882,3.0,6.0,1.0
78,986,3.0,2.0,1.0
78,1015,9.0,249.0,1.0
79,22,3.0,1.0,1.0
79,252,7.0,28.0,1.0
79,310,7.0,32.0,1.0
79,414,8.0,12.0,1.0
79,444,4.0,1.0,1.0
79,524,5.0,4.0,1.0
79,799,2.0,2.0,1.0
79,846,5.0,20.0,1.0
80,41,1.0,12.0,1.0
80,151,5.0,54.0,1.0
80,537,10.0,523.0,1.0
80,577,4.0,36.0,1.0
80,670,2.0,18.0,1.0
81,499,2.0,6.0,1.0
81,540,5.0,7.0,1.0
81,635,8.0,86.0,1.0
81,732,9.0,104.0,1.0
81,765,1.0,2.0,1.0
81,852,3.0,7.0,1.0
82,97,2.0,5.0,1.0
82,152,5.0,253.0,1.0
82,173,5.0,16.0,1.0
82,629,9.0,175.0,1.0
82,650,5.0,294.0,1.0
82,694,5.0,10.0,1.0
83,187,6.0,49.0,1.0
83,286,4.0,2.0,1.0
83,295,4.0,2.0,1.0
83,479,7.0,71.0,1.0
83,587,5.0,2.0,1.0
83,775,1.0,2.0,1.0
84,348,3.0,7.0,1.0
84,491,3.0,6.0,1.0
84,603,9.0,170.0,1.0
84,679,6.0,222.0,1.0
84,896,5.0,2.0,1.0
84,928,2.0,1.0,1.0
85,47,5.0,391.0,1.0
85,74,5.0,36.0,1.0
85,93,2.0,12.0,1.0
85,95,6.0,364.0,1.0
85,548,2.0,48.0,1.0
85,664,1.0,42.0,1.0
86,549,4.0,17.0,1.0
86,695,4.0,9.0,1.0
86,725,5.0,7.0,1.0
86,768,5.0,109.0,1.0
86,780,5.0,6.0,1.0
87,42,5.0,1.0,1.0
87,175,2.0,7.0,1.0
87,571,2.0,1.0,1.0
87,783,9.0,99.0,1.0
87,894,2.0,2.0,1.0
87,914,8.0,247.0,1.0
88,346,4.0,9.0,1.0
88,567,2.0,7.0,1.0
88,811,5.0,234.0,1.0
88,852,6.0,178.0,1.0
88,883,3.0,4.0,1.0
88,907,7.0,16.0,1.0
88,1008,1.0,4.0,1.0
89,122,1.0,7.0,1.0
89,253,5.0,5.0,1.0
89,570,9.0,128.0,1.0
89,656,10.0,162.0,1.0
89,807,7.0,168.0,1.0
89,871,3.0,6.0,1.0
89,982,2.0,2.0,1.0
90,251,1.0,2.0,1.0
90,632,1.0,2.0,1.0
90,741,7.0,67.0,1.0
90,930,2.0,2.0,1.0
90,959,10.0,34.0,1.0
91,192,9.0,498.0,1.0
91,289,5.0,15.0,1.0
91,290,5.0,3.0,1.0
91,454,4.0,7.0,1.0
91,668,7.0,409.0,1.0
91,677,2.0,15.0,1.0
92,431,5.0,4.0,1.0
92,593,1.0,5.0,1.0
92,710,1.0,9.0,1.0
92,911,4.0,2.0,1.0
92,933,5.0,59.0,1.0
93,85,2.0,12.0,1.0
93,195,6.0,373.0,1.0
93,394,3.0,42.0,1.0
93,528,3.0,18.0,1.0
93,934,2.0,18.0,1.0
94,247,8.0,103.0,1.0
94,373,1.0,1.0,1.0
94,766,9.0,54.0,1.0
94,792,2.0,6.0,1.0
94,904,3.0,4.0,1.0
94,917,2.0,5.0,1.0
95,85,6.0,364.0,1.0
95,369,5.0,18.0,1.0
95,601,2.0,6.0,1.0
95,826,10.0,479.0,1.0
95,918,5.0,48.0,1.0
95,925,1.0,6.0,1.0
96,36,4.0,2.0,1.0
96,102,5.0,2.0,1.0
96,526,5.0,2.0,1.0
96,532,7.0,48.0,1.0
96,823,8.0,47.0,1.0
97,82,2.0,5.0,1.0
97,327,3.0,3.0,1.0
97,436,5.0,503.0,1.0
97,536,1.0,16.0,1.0
97,926,3.0,8.0,1.0
98,131,1.0,2.0,1.0
98,419,5.0,5.0,1.0
98,471,5.0,5.0,1.0
98,572,8.0,153.0,1.0
98,998,1.0,1.0,1.0
99,276,5.0,6.0,1.0
99,372,1.0,60.0,1.0
99,727,5.0,18.0,1.0
99,754,2.0,24.0,1.0
99,1005,10.0,292.0,1.0
100,128,7.0,357.0,1.0
100,287,5.0,5.0,1.0
100,602,5.0,8.0,1.0
100,624,10.0,220.0,1.0
100,969,3.0,10.0,1.0
101,31,6.0,475.0,1.0
101,118,1.0,36.0,1.0
101,347,1.0,48.0,1.0
101,396,3.0,30.0,1.0
101,494,5.0,590.0,1.0
101,613,2.0,42.0,1.0
102,96,5.0,2.0,1.0
102,526,3.0,0.0,1.0
102,532,7.0,70.0,1.0
102,823,3.0,1.0,1.0
102,1012,6.0,72.0,1.0
103,123,10.0,117.0,1.0
103,177,5.0,1.0,1.0
103,458,2.0,6.0,1.0
103,466,5.0,4.0,1.0
103,967,4.0,2.0,1.0
104,185,10.0,256.0,1.0
104,193,9.0,62.0,1.0
104,221,5.0,6.0,1.0
104,328,2.0,1.0,1.0
104,715,5.0,3.0,1.0
105,182,4.0,1.0,1.0
105,223,5.0,13.0,1.0
105,294,2.0,3.0,1.0
105,330,5.0,155.0,1.0
105,435,4.0,12.0,1.0
106,35,8.0,86.0,1.0
106,301,5.0,237.0,1.0
106,380,4.0,5.0,1.0
106,453,5.0,2.0,1.0
106,493,5.0,2.0,1.0
106,964,2.0,2.0,1.0
107,178,4.0,11.0,1.0
107,319,10.0,154.0,1.0
107,415,5.0,4.0,1.0
107,497,9.0,59.0,1.0
107,689,3.0,5.0,1.0
107,792,2.0,8.0,1.0
108,309,3.0,5.0,1.0
108,402,8.0,151.0,1.0
108,463,9.0,22.0,1.0
108,680,5.0,6.0,1.0
108,699,10.0,67.0,1.0
108,859,2.0,5.0,1.0
109,167,9.0,48.0,1.0
109,277,2.0,1.0,1.0
109,351,4.0,3.0,1.0
109,566,8.0,22.0,1.0
109,597,2.0,3.0,1.0
109,881,10.0,19.0,1.0
109,916,7.0,37.0,1.0
110,407,5.0,7.0,1.0
110,540,4.0,4.0,1.0
110,641,5.0,1.0,1.0
110,765,8.0,168.0,1.0
110,943,3.0,5.0,1.0
111,181,5.0,11.0,1.0
111,293,1.0,7.0,1.0
111,426,8.0,65.0,1.0
112,133,2.0,30.0,1.0
112,364,1.0,42.0,1.0
112,486,3.0,42.0,1.0
112,864,5.0,42.0,1.0
112,957,8.0,661.0,1.0
113,234,7.0,138.0,1.0
113,412,1.0,7.0,1.0
113,555,3.0,6.0,1.0
113,665,5.0,13.0,1.0
113,768,7.0,177.0,1.0
113,796,5.0,173.0,1.0
114,155,4.0,7.0,1.0
114,224,1.0,4.0,1.0
114,501,1.0,3.0,1.0
114,802,5.0,4.0,1.0
114,998,8.0,61.0,1.0
115,78,10.0,120.0,1.0
115,185,4.0,6.0,1.0
115,363,6.0,101.0,1.0
115,639,2.0,4.0,1.0
115,863,1.0,2.0,1.0
115,895,7.0,83.0,1.0
115,999,5.0,2.0,1.0
116,132,2.0,2.0,1.0
116,343,1.0,2.0,1.0
116,403,5.0,4.0,1.0
116,538,10.0,218.0,1.0
116,572,5.0,168.0,1.0
116,802,3.0,5.0,1.0
116,982,10.0,271.0,1.0
117,189,4.0,1.0,1.0
117,360,6.0,236.0,1.0
117,466,10.0,267.0,1.0
117,492,1.0,6.0,1.0
117,546,4.0,4.0,1.0
117,995,3.0,4.0,1.0
118,33,1.0,54.0,1.0
118,101,1.0,36.0,1.0
118,298,6.0,331.0,1.0
118,563,2.0,60.0,1.0
118,797,10.0,391.0,1.0
118,840,1.0,60.0,1.0
119,456,2.0,3.0,1.0
119,660,1.0,6.0,1.0
119,671,2.0,10.0,1.0
119,706,3.0,7.0,1.0
119,861,5.0,76.0,1.0
120,291,4.0,4.0,1.0
120,330,1.0,15.0,1.0
120,336,8.0,158.0,1.0
120,344,9.0,131.0,1.0
120,583,6.0,147.0,1.0
120,764,2.0,13.0,1.0
120,850,5.0,7.0,1.0
121,170,3.0,11.0,1.0
121,527,9.0,227.0,1.0
121,762,4.0,16.0,1.0
121,795,3.0,10.0,1.0
121,889,7.0,224.0,1.0
122,89,1.0,7.0,1.0
122,296,3.0,5.0,1.0
122,570,2.0,4.0,1.0
122,680,7.0,102.0,1.0
122,859,2.0,1.0,1.0
122,884,5.0,276.0,1.0
123,103,10.0,117.0,1.0
123,146,6.0,101.0,1.0
123,288,1.0,4.0,1.0
123,413,5.0,5.0,1.0
123,449,4.0,6.0,1.0
123,560,2.0,4.0,1.0
124,160,9.0,367.0,1.0
124,168,2.0,2.0,1.0
124,341,6.0,295.0,1.0
124,651,2.0,2.0,1.0
124,668,2.0,10.0,1.0
124,731,2.0,5.0,1.0
125,26,4.0,24.0,1.0
125,365,3.0,24.0,1.0
125,613,8.0,668.0,1.0
125,686,5.0,12.0,1.0
125,972,2.0,60.0,1.0
126,206,5.0,2.0,1.0
126,212,8.0,204.0,1.0
126,262,5.0,3.0,1.0
126,440,4.0,7.0,1.0
126,608,1.0,7.0,1.0
127,58,2.0,48.0,1.0
127,396,6.0,475.0,1.0
127,580,6.0,726.0,1.0
127,634,3.0,30.0,1.0
127,730,3.0,48.0,1.0
127,957,3.0,42.0,1.0
128,64,5.0,11.0,1.0
128,100,7.0,357.0,1.0
128,672,4.0,3.0,1.0
128,683,9.0,278.0,1.0
128,694,3.0,10.0,1.0
128,926,10.0,194.0,1.0
129,167,2.0,4.0,1.0
129,476,3.0,0.0,1.0
129,597,10.0,28.0,1.0
129,909,4.0,1.0,1.0
129,1011,5.0,2.0,1.0
130,70,6.0,29.0,1.0
130,382,7.0,84.0,1.0
130,935,4.0,4.0,1.0
131,46,5.0,4.0,1.0
131,98,1.0,2.0,1.0
131,285,9.0,165.0,1.0
131,296,3.0,2.0,1.0
131,313,5.0,236.0,1.0
131,462,9.0,12.0,1.0
131,538,2.0,1.0,1.0
132,116,2.0,2.0,1.0
132,309,8.0,221.0,1.0
132,417,2.0,8.0,1.0
132,428,2.0,2.0,1.0
132,736,1.0,2.0,1.0
132,802,9.0,127.0,1.0
133,31,5.0,60.0,1.0
133,112,2.0,30.0,1.0
133,357,2.0,18.0,1.0
133,548,8.0,385.0,1.0
133,830,1.0,6.0,1.0
133,981,8.0,712.0,1.0
134,285,5.0,3.0,1.0
134,445,1.0,5.0,1.0
134,570,4.0,5.0,1.0
134,646,6.0,345.0,1.0
134,656,3.0,2.0,1.0
134,879,10.0,137.0,1.0
135,269,10.0,101.0,1.0
135,271,4.0,15.0,1.0
135,411,4.0,9.0,1.0
135,558,6.0,161.0,1.0
135,693,5.0,9.0,1.0
135,825,3.0,12.0,1.0
136,253,3.0,2.0,1.0
136,309,4.0,8.0,1.0
136,343,4.0,2.0,1.0
136,400,9.0,231.0,1.0
136,680,10.0,129.0,1.0
136,879,4.0,4.0,1.0
137,217,5.0,42.0,1.0
137,494,5.0,48.0,1.0
137,533,1.0,18.0,1.0
137,568,2.0,36.0,1.0
137,707,10.0,675.0,1.0
137,830,8.0,397.0,1.0
138,234,2.0,15.0,1.0
138,362,4.0,18.0,1.0
138,406,7.0,199.0,1.0
138,555,7.0,133.0,1.0
138,630,5.0,2.0,1.0
138,755,1.0,17.0,1.0
139,269,2.0,6.0,1.0
139,465,3.0,6.0,1.0
139,478,3.0,7.0,1.0
139,574,10.0,304.0,1.0
139,640,2.0,15.0,1.0
139,674,6.0,127.0,1.0
140,403,1.0,5.0,1.0
140,504,1.0,2.0,1.0
140,572,1.0,8.0,1.0
140,609,9.0,84.0,1.0
141,326,4.0,10.0,1.0
141,436,3.0,16.0,1.0
141,778,9.0,524.0,1.0
141,951,2.0,10.0,1.0
141,990,10.0,305.0,1.0
141,1004,4.0,11.0,1.0
142,153,2.0,2.0,1.0
142,227,7.0,251.0,1.0
142,257,2.0,1.0,1.0
142,335,4.0,1.0,1.0
142,604,2.0,4.0,1.0
142,661,9.0,96.0,1.0
143,333,3.0,3.0,1.0
143,405,9.0,50.0,1.0
143,422,1.0,1.0,1.0
143,534,5.0,3.0,1.0
143,960,4.0,1.0,1.0
144,409,4.0,6.0,1.0
144,574,7.0,160.0,1.0
144,825,3.0,9.0,1.0
144,932,3.0,3.0,1.0
144,996,5.0,3.0,1.0
145,488,5.0,50.0,1.0
145,579,2.0,7.0,1.0
145,870,7.0,69.0,1.0
145,945,2.0,6.0,1.0
145,966,4.0,5.0,1.0
146,123,6.0,101.0,1.0
146,274,7.0,135.0,1.0
146,345,2.0,6.0,1.0
146,770,3.0,6.0,1.0
146,841,3.0,3.0,1.0
146,995,1.0,5.0,1.0
147,32,2.0,8.0,1.0
147,452,3.0,7.0,1.0
147,648,4.0,3.0,1.0
147,703,3.0,4.0,1.0
147,766,9.0,12.0,1.0
147,870,7.0,43.0,1.0
148,46,4.0,3.0,1.0
148,682,10.0,321.0,1.0
148,802,4.0,6.0,1.0
148,859,10.0,168.0,1.0
148,879,2.0,5.0,1.0
148,893,2.0,5.0,1.0
149,18,1.0,4.0,1.0
149,259,5.0,29.0,1.0
149,377,4.0,1.0,1.0
149,553,4.0,2.0,1.0
149,627,3.0,5.0,1.0
150,204,9.0,50.0,1.0
150,236,2.0,1.0,1.0
150,242,10.0,53.0,1.0
150,318,4.0,1.0,1.0
150,503,9.0,37.0,1.0
150,584,5.0,2.0,1.0
150,726,6.0,57.0,1.0
151,54,9.0,610.0,1.0
151,80,5.0,54.0,1.0
151,209,5.0,6.0,1.0
151,268,3.0,42.0,1.0
151,530,3.0,6.0,1.0
151,929,7.0,252.0,1.0
152,82,5.0,253.0,1.0
152,290,3.0,7.0,1.0
152,454,1.0,2.0,1.0
152,773,4.0,13.0,1.0
152,973,5.0,173.0,1.0
152,1003,3.0,10.0,1.0
153,142,2.0,2.0,1.0
153,162,2.0,2.0,1.0
153,335,1.0,1.0,1.0
153,354,4.0,1.0,1.0
153,856,8.0,329.0,1.0
153,939,6.0,234.0,1.0
154,58,3.0,60.0,1.0
154,74,8.0,588.0,1.0
154,324,4.0,12.0,1.0
154,754,5.0,30.0,1.0
154,826,6.0,397.0,1.0
154,891,5.0,30.0,1.0
155,46,2.0,8.0,1.0
155,114,4.0,7.0,1.0
155,224,8.0,108.0,1.0
155,313,2.0,5.0,1.0
155,400,7.0,116.0,1.0
155,403,5.0,142.0,1.0
155,652,4.0,4.0,1.0
156,40,4.0,11.0,1.0
156,406,1.0,11.0,1.0
156,412,4.0,9.0,1.0
156,470,4.0,17.0,1.0
156,695,9.0,89.0,1.0
157,54,2.0,30.0,1.0
157,528,7.0,426.0,1.0
157,563,4.0,48.0,1.0
157,626,7.0,341.0,1.0
157,686,5.0,36.0,1.0
157,842,5.0,36.0,1.0
157,901,8.0,363.0,1.0
158,57,1.0,3.0,1.0
158,239,1.0,6.0,1.0
158,416,4.0,9.0,1.0
158,433,7.0,64.0,1.0
158,919,3.0,3.0,1.0
158,943,10.0,139.0,1.0
159,182,2.0,7.0,1.0
159,215,4.0,15.0,1.0
159,299,6.0,268.0,1.0
159,344,5.0,9.0,1.0
159,850,4.0,10.0,1.0
160,64,5.0,7.0,1.0
160,124,9.0,367.0,1.0
160,279,6.0,391.0,1.0
160,341,1.0,10.0,1.0
160,543,3.0,10.0,1.0
160,788,3.0,15.0,1.0
160,950,5.0,213.0,1.0
161,235,5.0,181.0,1.0
161,362,4.0,6.0,1.0
161,555,7.0,308.0,1.0
161,564,4.0,6.0,1.0
161,958,5.0,17.0,1.0
161,965,3.0,4.0,1.0
162,153,2.0,2.0,1.0
162,177,1.0,2.0,1.0
162,274,3.0,2.0,1.0
162,936,10.0,59.0,1.0
162,1016,3.0,1.0,1.0
163,33,6.0,596.0,1.0
163,56,1.0,18.0,1.0
163,530,5.0,60.0,1.0
163,575,2.0,48.0,1.0
163,980,5.0,36.0,1.0
164,64,1.0,15.0,1.0
164,173,8.0,329.0,1.0
164,241,4.0,7.0,1.0
164,341,9.0,211.0,1.0
164,473,1.0,15.0,1.0
164,629,1.0,2.0,1.0
165,213,2.0,1.0,1.0
